,count
I,503
US,150
AI,138
S,114
U,108
A,98
NVDA,59
P,57
CEO,52
B,50
M,49
AMD,40
PLTR,38
K,34
IRA,32
E,31
EPS,30
ETF,27
Y,26
X,24
VIDIA,21
VOO,21
INTC,20
MSFT,19
EV,18
BABA,18
D,17
SPY,17
META,17
TSLA,17
EU,17
LSEG,16
ASDAQ,15
SMCI,14
DD,14
T,13
PE,13
HYSA,13
BYD,13
TSMC,13
Q,12
USD,12
AMZN,11
C,11
SEC,11
GDP,11
CNBC,11
NOT,10
RDDT,10
TLDR,10
CPI,10
HIMS,10
TSM,9
WSJ,9
USA,9
RKLB,9
FDA,9
GOOGL,9
UK,9
EDIT,9
GOOG,9
IPO,9
DCA,8
BITDA,8
DOGE,8
F,8
GAAP,8
YTD,8
AWS,7
NVO,7
AAPL,7
QCOM,7
GPT,7
ASTS,7
YOLO,7
CFO,7
GM,7
G,6
QQQ,6
API,6
GPU,6
PR,6
TD,6
DR,6
MSCI,6
DTE,6
TV,6
JD,6
AST,5
EOY,5
XXXXX,5
FAQ,5
VXUS,5
DJT,5
IBM,5
COVID,5
APY,5
FCF,5
ER,5
FXI,5
MM,5
DCF,5
CHIPS,5
ROTH,5
XM,5
BIDU,5
UBER,5
MCD,5
LYFT,5
TTM,5
AVGO,5
BP,5
DAX,5
XOM,4
PM,4
CAGR,4
CVX,4
FSD,4
NEW,4
II,4
CVNA,4
FTSE,4
CROX,4
FY,4
HUGE,4
IVV,4
UNH,4
ACHR,4
PDD,4
V,4
QBTS,4
IMO,4
NASA,4
IOVA,4
SE,4
LUNR,4
TXN,4
CSCO,4
CD,4
PCE,4
FDIC,4
JP,4
GSAT,4
HSA,4
SGOV,4
NYSE,4
EBIT,3
ABBV,3
JNJ,3
TSX,3
ASML,3
OK,3
MRNA,3
NINGS,3
AGI,3
BA,3
NU,3
SCHD,3
VTI,3
RIVN,3
AFTER,3
O,3
FUD,3
AP,3
DEI,3
MA,3
PFE,3
BAE,3
RHM,3
IRR,3
AM,3
PSX,3
NATO,3
TTWO,3
OS,3
EA,3
TCEHY,3
IP,3
WSB,3
RBLX,3
NBIS,3
CUDA,3
WMT,3
AG,3
ARM,3
ATT,3
CC,3
IBKR,3
DOJ,3
STOXX,3
UAE,3
FXAIX,3
ARR,3
AB,3
DDOG,2
ORCL,2
UBS,2
VTSAX,2
MRK,2
ALL,2
AMAT,2
IIRC,2
FXF,2
TSCO,2
CRWD,2
TEM,2
CFPB,2
VST,2
NIST,2
ASAP,2
ISI,2
ON,2
TMUS,2
SPGI,2
PEG,2
SNAP,2
MDA,2
J,2
SIRI,2
ROE,2
TIA,2
ET,2
FYI,2
GTA,2
MU,2
SPXL,2
IT,2
IV,2
ROI,2
UCITS,2
GE,2
DE,2
CACI,2
GRAB,2
SNOW,2
DPO,2
ATH,2
MELI,2
LVMH,2
STLA,2
SWKS,2
IRIUS,2
LLY,2
EY,2
CELH,2
SANA,2
IDK,2
MPC,2
LSCC,2
NEWS,2
FOR,2
CPU,2
URL,2
COIN,2
NKE,2
OPTT,2
TL,2
ERICA,2
SPX,2
ESG,2
PAX,2
ITIES,2
AXP,2
N,2
UPRO,2
GA,2
BTC,2
BB,2
ML,2
MACD,2
MSTR,2
DINGS,2
FTC,2
UTIVE,2
ADAS,2
ISCAL,2
SAME,2
ERP,2
RTX,2
FOMO,2
CSL,2
ABSI,2
EFORE,2
BTG,2
NVDIA,2
WDAY,2
PART,2
PT,2
GTC,2
STA,2
VXX,2
BACK,2
POOL,2
PAC,2
CNN,2
CIO,2
CST,2
APP,2
LEAPS,2
WFC,2
R,2
RESP,2
RACE,2
EVP,2
FBI,2
VIIIX,2
BIG,2
TRI,2
RSI,2
JPM,2
LLM,2
THE,2
VP,2
USPS,2
SA,2
MUCH,2
LOT,2
SPMO,2
NY,2
ARKX,2
CPA,2
BANK,1
CO,1
PETE,1
WS,1
ONE,1
HLDGS,1
AON,1
FTIHX,1
TDF,1
RANDS,1
LIZKX,1
FSKAX,1
ALLY,1
SMPV,1
LQQ,1
JMIA,1
ENNAR,1
ATION,1
ISIGN,1
AMER,1
LNTH,1
HEINZ,1
BERTY,1
AGNC,1
NVR,1
COLA,1
MITED,1
LDOS,1
COP,1
SNDL,1
FCX,1
SWISX,1
SOAR,1
XDR,1
IAM,1
RAVES,1
SIEM,1
VISA,1
SIANA,1
AVITA,1
PITAL,1
TKO,1
OODYS,1
POV,1
CORP,1
CYN,1
ERIES,1
ENTAL,1
UTMA,1
GOVI,1
ESA,1
NAV,1
SHY,1
TLT,1
AS,1
WF,1
HDHP,1
CNY,1
COM,1
JPY,1
VHCOL,1
W,1
DXJ,1
FWWFX,1
FTQGX,1
SPHIX,1
NIIT,1
FCNTX,1
FPADX,1
FSPSX,1
THINK,1
QC,1
CYNGN,1
DMA,1
EVRON,1
MEDIA,1
MINOS,1
PIZZA,1
KRAFT,1
NK,1
ROGER,1
SAVEQ,1
RCARD,1
DAL,1
LANTA,1
LTD,1
LATIN,1
FWIW,1
ACB,1
INC,1
MAZON,1
IAGEO,1
OBILE,1
DEL,1
SOGV,1
ARTER,1
GROUP,1
APPLE,1
COCA,1
PLC,1
ITT,1
HEICO,1
FINL,1
MVOL,1
RDFN,1
APAC,1
OCIAL,1
NTRA,1
BHVN,1
ARKET,1
DY,1
FB,1
SIDER,1
PANW,1
CLF,1
CMTV,1
MAGN,1
CGAU,1
AEM,1
GOLD,1
KGC,1
NEM,1
FNV,1
PINS,1
TTD,1
NVAX,1
LLISH,1
ALYST,1
MDB,1
PGEN,1
RISE,1
TH,1
TTING,1
PSHG,1
ECORD,1
ANY,1
DATE,1
AR,1
DXY,1
VYM,1
AQR,1
ABR,1
TOP,1
FBK,1
REGN,1
REIT,1
BLA,1
AIZ,1
PNRG,1
CRM,1
FDX,1
TFSA,1
ORMAL,1
WEVER,1
CY,1
ILITY,1
ENDED,1
IYZ,1
FCFF,1
WACC,1
NO,1
ASME,1
RS,1
AU,1
EUR,1
YET,1
SWTX,1
RDN,1
TAM,1
PN,1
ZG,1
MEKLI,1
ASV,1
NOL,1
TODAY,1
OPT,1
UPS,1
XPO,1
USO,1
ETR,1
SHL,1
EOM,1
YR,1
DTEK,1
SVP,1
CCC,1
MS,1
NOVO,1
FLNC,1
SCR,1
SIX,1
SOS,1
NDENT,1
ARK,1
OEM,1
DAY,1
HARES,1
HIGH,1
EST,1
TGT,1
VRSN,1
OXY,1
CHTR,1
BAC,1
STZ,1
COF,1
DPZ,1
OURCE,1
FAA,1
THING,1
EXACT,1
ORBES,1
MSRP,1
MAY,1
BC,1
MFO,1
FIDC,1
EQI,1
HSBC,1
ISTRA,1
MOBO,1
LRCX,1
ETHX,1
RRSP,1
XEQT,1
FHSA,1
FBTC,1
IL,1
RGENT,1
IMRF,1
EIGHT,1
TRY,1
TR,1
USMCA,1
EMA,1
NDX,1
SALT,1
OR,1
SL,1
BALLY,1
YOU,1
TAG,1
FIP,1
IR,1
HOULD,1
UAA,1
GD,1
HRI,1
URI,1
LMT,1
NOC,1
SKIMS,1
HAL,1
PL,1
SPAC,1
LEO,1
BKSY,1
CSI,1
TTAM,1
HOOD,1
ABI,1
EEERS,1
HEIA,1
NTIAL,1
LULU,1
XAI,1
ERNIE,1
AA,1
CAPEX,1
VI,1
KULR,1
NFLX,1
OG,1
STLD,1
MT,1
NUE,1
VZ,1
HEES,1
NIGHT,1
RGTI,1
QUBT,1
IONQ,1
GREAT,1
CHUBB,1
DIA,1
ERFUL,1
GCP,1
RFK,1
TIONS,1
BUT,1
THERE,1
SCHY,1
VIG,1
JAAA,1
JBBB,1
VIGAX,1
BNDI,1
FTNT,1
MCHP,1
LW,1
TWTR,1
AZC,1
PBA,1
AVNR,1
NBA,1
ESM,1
DID,1
BNP,1
SPDR,1
NANC,1
TRSS,1
ZM,1
SAIC,1
EBAY,1
WYF,1
OSTON,1
STEEP,1
DOES,1
GIVE,1
FX,1
MONEY,1
CVS,1
DA,1
EPYC,1
VS,1
MOAT,1
EWW,1
AND,1
QQ,1
MCI,1
SAAB,1
SERV,1
LIDAR,1
BSR,1
BIDTA,1
PNL,1
CDC,1
TDP,1
DLC,1
HGX,1
NVL,1
ACC,1
PMIC,1
MW,1
MB,1
IALLY,1
TIME,1
POP,1
III,1
CCP,1
GS,1
SHOP,1
NGTON,1
ESALE,1
HOMES,1
JUST,1
PENED,1
DARK,1
HQ,1
GEICO,1
DIS,1
YRD,1
ATG,1
NVS,1
NIKE,1
KO,1
KRE,1
ID,1
RIFFS,1
YINN,1
VIX,1
OURTH,1
PORT,1
FULL,1
IVY,1
BMW,1
IOT,1
MIH,1
QNX,1
SAAS,1
ADING,1
IN,1
MONTH,1
PUT,1
BY,1
HIS,1
HE,1
EASED,1
GAINS,1
CAUSE,1
FCC,1
LIFE,1
PICK,1
BPM,1
MC,1
PEP,1
AISC,1
GDX,1
REMX,1
BHP,1
COPX,1
ARKQ,1
GDXJ,1
STERS,1
ENDYS,1
EHIND,1
TAC,1
QE,1
BBC,1
OFV,1
ACAP,1
KBA,1
EO,1
SOFI,1
JPOW,1
ENDIE,1
ASX,1
FILES,1
PEOUT,1
SJ,1
IXIC,1
NEVER,1
FEWER,1
YORK,1
CFRA,1
UYING,1
YOY,1
GAMMA,1
MARCH,1
PYPL,1
HCA,1
SMMT,1
ROP,1
BIL,1
PFA,1
RH,1
OTM,1
GREEN,1
Z,1
ARKK,1
TI,1
ENSG,1
PUTS,1
EOD,1
NHC,1
LTC,1
PNTG,1
VA,1
ADUS,1
UFOD,1
UFO,1
BZX,1
CR,1
AIR,1
IJING,1
LG,1
CATL,1
HHS,1
WILD,1
SXT,1
ADM,1
VSUXX,1
FEMA,1
FIRST,1
TMENT,1
OLICY,1
CLP,1
APR,1
LLION,1
ECTED,1
HO,1
KOG,1
JAS,1
BLS,1
ATC,1
XXXX,1
SMH,1
UKR,1
CAPE,1
BE,1
BUY,1
VAT,1
JSM,1
BTI,1
EMH,1
UAV,1
LDO,1
NSM,1
AEW,1
ASA,1
HORIA,1
REAL,1
EASES,1
IS,1
VUSXX,1
VMFXX,1
SNVXX,1
SWVXX,1
SPAXX,1
WA,1
THANK,1
SK,1
FDLXX,1
ETH,1
ED,1
OTC,1
ATL,1
EQQQ,1
MSGE,1
AIG,1
SPRXX,1
HAS,1
FOMC,1
FCFY,1
SEP,1
FFICE,1
FA,1
WFFT,1
ECURE,1
DJIA,1
HYS,1
FCY,1
SOCOM,1
CE,1
CPPO,1
GC,1
DHS,1
CTO,1
BRRR,1
VTOL,1
TIL,1
NSCLC,1
VIE,1
ADAP,1
DRS,1
AUKUS,1
ASAMS,1
SEK,1
EBITA,1
NOK,1
OKLO,1
INDEX,1
RR,1
LON,1
LTSA,1
IFS,1
AMC,1
PVH,1
WWII,1
ABT,1
CL,1
YDUDE,1
DTC,1
GB,1
EMV,1
OF,1
STOCK,1
ROOT,1
VR,1
FTI,1
LTE,1
CTLP,1
FMC,1
RSVP,1
SDA,1
DLAND,1
INESS,1
NQ,1
DRIVE,1
RLTC,1
GMV,1
PG,1
COST,1
DUK,1
FINAL,1
LLP,1
EUAD,1
AH,1
OCF,1
PS,1
PTX,1
HASC,1
PRCH,1
SP,1
SVB,1
LTCM,1
UPST,1
DASH,1
TAGVI,1
ORR,1
IMCR,1
GEO,1
ISS,1
NEE,1
MCHI,1
AMGN,1
KMB,1
AV,1
MLS,1
BDO,1
SMCX,1
VEE,1
NSF,1
ESCAM,1
IOM,1
USDA,1
NIH,1
AFFX,1
LMK,1
JEC,1
IDC,1
DIDI,1
